adult,id,original_language,original_title,popularity,title,release_date
False,18781,en,The Haunting in Connecticut,1.8097,The Haunting in Connecticut,2009-03-27
False,629040,ar,ولاد رزق 3: القاضية,1.8095,Sons of Rizk 3: Knockout,2024-06-12
False,401917,ja,黒崎くんの言いなりになんてならない,1.8095,The Black Devil and the White Prince,2016-02-27
False,57575,en,The Last Time I Saw Paris,1.8094,The Last Time I Saw Paris,1954-11-18
False,454294,en,The Kid Who Would Be King,1.8093,The Kid Who Would Be King,2019-01-16
False,35169,en,Furry Vengeance,1.8091,Furry Vengeance,2010-04-30
False,1153291,es,Llamada privada,1.8089,Private call,2023-07-11
False,500922,en,A Score to Settle,1.8089,A Score to Settle,2019-08-01
False,416724,en,Boar,1.8089,Boar,2018-06-17
False,14367,en,Adventures in Babysitting,1.8087,Adventures in Babysitting,1987-07-01
False,203,en,Mean Streets,1.8086,Mean Streets,1973-10-14
False,206277,en,Shirley: Visions of Reality,1.8085,Shirley: Visions of Reality,2013-12-26
False,11317,en,My Girl 2,1.8085,My Girl 2,1994-02-11
False,2755,en,About Schmidt,1.8083,About Schmidt,2002-12-12
False,566228,en,The Inventor: Out for Blood in Silicon Valley,1.8082,The Inventor: Out for Blood in Silicon Valley,2019-01-24
False,25016,en,Pygmalion,1.8082,Pygmalion,1939-03-03
False,57157,en,Young Adult,1.8081,Young Adult,2011-11-11
False,10375,en,D-Tox,1.8079,D-Tox,2002-01-04
False,11617,en,Rio Grande,1.8078,Rio Grande,1950-11-15
False,127651,en,The Seasoning House,1.8074,The Seasoning House,2012-08-21
False,24212,en,Devil Girl from Mars,1.8122,Devil Girl from Mars,1954-05-01
False,622897,en,Woodstock or Bust,1.8119,Woodstock or Bust,2019-08-13
False,11982,en,Look Who's Talking Now!,1.8119,Look Who's Talking Now!,1993-11-05
False,2974,de,Orlacs Hände,1.8117,The Hands of Orlac,1924-09-24
False,252978,en,Let's Switch!,1.8115,Let's Switch!,1975-01-07
False,705862,ja,Red,1.8114,Red,2020-02-21
False,444149,en,Hellraiser: Judgment,1.8111,Hellraiser: Judgment,2018-02-13
False,28391,en,Street Angel,1.8111,Street Angel,1928-04-09
False,5725,en,Supervixens,1.811,Supervixens,1975-04-02
False,504997,en,LEGO DC Comics Super Heroes: The Flash,1.8109,LEGO DC Comics Super Heroes: The Flash,2018-02-13
False,1802,fr,La Cérémonie,1.8108,La Ceremonie,1995-08-30
False,1294911,bn,মন পতঙ্গ,1.8104,Mon Potongo,2025-03-07
False,409056,en,Along Came the Devil,1.8104,Along Came the Devil,2018-08-10
False,228915,en,Lord of Tears,1.8101,Lord of Tears,2013-10-25
False,11525,en,Lawnmower Man 2: Beyond Cyberspace,1.8101,Lawnmower Man 2: Beyond Cyberspace,1996-01-12
False,2067,en,Mission to Mars,1.8101,Mission to Mars,2000-03-10
